Type;ESPI-7;
Version;2.92;
Date;20.Jan 21;
Mode;Receiver;
Start;30000000,000000;Hz
Stop;1000000000,000000;Hz
x-Axis;LIN;
Detector;MAX PEAK;
Scan Count;1;
Transducer;11r30-1;
Scan 1:
Start;30000000,000000;Hz
Stop;1000000000,000000;Hz
Step;40000,000000;Hz
RBW;120000,000000;Hz
Meas Time;0,015000;s
Auto Ranging;ON;
RF Att;0,000000;dB
Auto Preamp;ON;
Preamp;20,000000;dB
LN Preamp;OFF;
TRACE 1:
Trace Mode;CLR/WRITE;
x-Unit;Hz;
y-Unit;dBuV/m;
Values;24251;
30000000,000000;20,234070;
30040000,000000;18,680504;
30080000,000000;18,556732;
30120000,000000;18,360611;
30160000,000000;17,464104;
30200000,000000;20,589569;
30240000,000000;19,626053;
30280000,000000;18,134659;
30320000,000000;18,526344;
30360000,000000;18,532272;
30400000,000000;19,845016;
30440000,000000;17,664452;
30480000,000000;18,301132;
30520000,000000;18,106056;
30560000,000000;18,253563;
30600000,000000;17,874161;
30640000,000000;18,853363;
30680000,000000;18,109207;
30720000,000000;18,484024;
30760000,000000;18,231903;
30800000,000000;18,377136;
30840000,000000;18,400589;
30880000,000000;19,421310;
30920000,000000;20,102585;
30960000,000000;18,607407;
31000000,000000;19,544418;
31040000,000000;20,446892;
31080000,000000;19,654541;
31120000,000000;19,057129;
31160000,000000;18,037842;
31200000,000000;19,356064;
31240000,000000;19,529373;
31280000,000000;19,152191;
31320000,000000;18,060745;
31360000,000000;21,196594;
31400000,000000;20,380432;
31440000,000000;21,499100;
31480000,000000;21,510178;
31520000,000000;19,433594;
31560000,000000;18,307007;
31600000,000000;18,781662;
31640000,000000;18,804184;
31680000,000000;18,839371;
31720000,000000;18,496674;
31760000,000000;21,659088;
31800000,000000;20,687256;
31840000,000000;21,150475;
31880000,000000;18,912537;
31920000,000000;18,291267;
31960000,000000;18,355179;
32000000,000000;19,133484;
32040000,000000;18,518951;
32080000,000000;19,466469;
32120000,000000;19,064995;
32160000,000000;17,885338;
32200000,000000;18,968124;
32240000,000000;18,488510;
32280000,000000;18,740669;
32320000,000000;18,629257;
32360000,000000;19,009804;
32400000,000000;19,632660;
32440000,000000;18,541748;
32480000,000000;19,248482;
32520000,000000;20,096313;
32560000,000000;19,683846;
32600000,000000;19,505516;
32640000,000000;18,848999;
32680000,000000;20,084656;
32720000,000000;20,237755;
32760000,000000;18,873116;
32800000,000000;18,622963;
32840000,000000;19,454178;
32880000,000000;21,832390;
32920000,000000;23,565781;
32960000,000000;24,502457;
33000000,000000;23,434410;
33040000,000000;19,083603;
33080000,000000;18,018196;
33120000,000000;21,124008;
33160000,000000;19,117332;
33200000,000000;20,414978;
33240000,000000;20,028419;
33280000,000000;25,144577;
33320000,000000;24,563393;
33360000,000000;24,403175;
33400000,000000;24,053932;
33440000,000000;18,806702;
33480000,000000;19,498169;
33520000,000000;19,372284;
33560000,000000;20,063324;
33600000,000000;19,474594;
33640000,000000;21,356308;
33680000,000000;18,297562;
33720000,000000;19,040436;
33760000,000000;19,695389;
33800000,000000;19,653381;
33840000,000000;19,300629;
33880000,000000;18,607651;
33920000,000000;18,700211;
33960000,000000;19,485504;
34000000,000000;18,636383;
34040000,000000;19,990646;
34080000,000000;19,564819;
34120000,000000;18,919281;
34160000,000000;20,271820;
34200000,000000;18,395874;
34240000,000000;19,608612;
34280000,000000;19,047653;
34320000,000000;24,298523;
34360000,000000;25,652855;
34400000,000000;24,398010;
34440000,000000;23,705185;
34480000,000000;19,382263;
34520000,000000;20,832474;
34560000,000000;19,159843;
34600000,000000;18,910606;
34640000,000000;19,259735;
34680000,000000;22,267853;
34720000,000000;21,510025;
34760000,000000;19,159019;
34800000,000000;20,524155;
34840000,000000;18,912331;
34880000,000000;19,967819;
34920000,000000;20,203270;
34960000,000000;18,509476;
35000000,000000;19,698486;
35040000,000000;18,730362;
35080000,000000;20,591827;
35120000,000000;20,199570;
35160000,000000;20,722816;
35200000,000000;19,745499;
35240000,000000;19,604828;
35280000,000000;19,176697;
35320000,000000;20,044647;
35360000,000000;19,906990;
35400000,000000;19,451492;
35440000,000000;25,095093;
35480000,000000;25,286552;
35520000,000000;25,402336;
35560000,000000;24,503456;
35600000,000000;19,089798;
35640000,000000;18,678398;
35680000,000000;19,065239;
35720000,000000;18,844231;
35760000,000000;18,148224;
35800000,000000;18,903610;
35840000,000000;22,468102;
35880000,000000;18,096458;
35920000,000000;19,455521;
35960000,000000;18,701256;
36000000,000000;19,883621;
36040000,000000;18,366425;
36080000,000000;19,365547;
36120000,000000;18,394913;
36160000,000000;17,849701;
36200000,000000;18,679977;
36240000,000000;19,433517;
36280000,000000;18,177536;
36320000,000000;18,385323;
36360000,000000;18,919113;
36400000,000000;18,424492;
36440000,000000;18,959732;
36480000,000000;22,373306;
36520000,000000;23,884552;
36560000,000000;24,542793;
36600000,000000;21,979912;
36640000,000000;17,253876;
36680000,000000;17,239708;
36720000,000000;17,838898;
36760000,000000;17,157669;
36800000,000000;16,800087;
36840000,000000;18,386993;
36880000,000000;22,194237;
36920000,000000;18,391762;
36960000,000000;18,308182;
37000000,000000;17,670952;
37040000,000000;17,150276;
37080000,000000;17,344421;
37120000,000000;17,958504;
37160000,000000;17,291962;
37200000,000000;16,698845;
37240000,000000;19,467484;
37280000,000000;17,989853;
37320000,000000;17,509872;
37360000,000000;16,771149;
37400000,000000;16,177818;
37440000,000000;17,001472;
37480000,000000;16,008629;
37520000,000000;16,375023;
37560000,000000;17,463264;
37600000,000000;16,537292;
